Nom du produit,Marque,Capacité,Référence,Type de disque,Prix,Site web,Catégorie
"FIDECO Station d'accueil pour disque dur, disque dur externe USB 3.0 SATA pour HDD ou SSD SATA 2,5 et 3,5 pouces, prise en charge du clone hors ligne, lecteur de carte TF et SD et 2 disques durs de 18 To",fideco,18 TB,YPZ04-S2HC,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,114,bol.com,DISQUE DUR
Seagate One Touch Desktop - Disque dur externe de bureau - 8 To,Seagate,8 TB,STLC8000400,Disque dur de 2.5 pouces,172,bol.com,DISQUE DUR
"Seagate IronWolf ST3000VN006, 3.5"", 3 To, 5400 tr/min",Seagate,3 TB,ST3000VN006,Disque dur de 3.5 pouces,108,bol.com,DISQUE DUR
"Disque dur SEAGATE 500 Go 7200 tr / min 3,5 pouces SATA-6 GoPS (disque Seagate de l'unité HP) 680207-001",Seagate,500 GB,61290,Disque dur de 3.5 pouces,32,bol.com,DISQUE DUR
"Seagate IronWolf ST8000VN002, 3.5"", 8 To, 5400 tr/min",Seagate,8 TB,ST8000VN002,Disque dur de 3.5 pouces,197,bol.com,DISQUE DUR
Disque dur externe PS5 [2 To] – Disque dur externe avec écran LED adapté pour PS5/PS4/ PC – Stockage PS5 avec USB 3.0,GUTEC,3 TB,8721022262925,Disque dur de 3.5 pouces,139,bol.com,DISQUE DUR
"LaCie Rugged USB-C disque dur externe 5000 Go Gris, Jaune",LaCie,5 TB,STFR500800,Disque dur de 2.5 pouces,236,bol.com,DISQUE DUR
"Synology ?HAT3300-4T NAS 4TB SATA 3.5 HDD, 3.5"", 4,1 To, 5400 tr/min",Synology,4 TB,HAT3300-4T,Disque dur de 3.5 pouces,120,bol.com,DISQUE DUR
"6 To, SATA 6Gb/s, 3.5"", 7200 RPM",Western Digital,6 TB,WD6003FFBX,Disque dur de 3.5 pouces,239,bol.com,DISQUE DUR
Seagate One Touch disque dur externe 4000 Go Bleu,Seagate,4 TB,STKC4000402,Disque dur de 2.5 pouces,124,bol.com,DISQUE DUR
Disque dur externe PS5 [8 To] – Disque dur externe avec écran LED adapté pour PS5/PS4/ PC – Stockage PS5 avec USB 3.0,,8 TB,8721022263144,Disque dur de 3.5 pouces,279,bol.com,DISQUE DUR
Toshiba Canvio Ready disque dur externe 1000 Go Noir,Toshiba,1 TB,HDTP310EK3AA,Disque dur de 2.5 pouces,70,bol.com,DISQUE DUR
"Faites attention au type !! Boîtier USB 2.0 externe pour HDD dur SATA HDD 2,5 pouces Dimensions: 126 x 75 x 13 mm (noir)",Merkloos / Sans marque,,0,,14,bol.com,DISQUE DUR
Seagate One Touch disque dur externe 4000 Go Noir,Seagate,4 TB,STKZ4000400,Disque dur de 2.5 pouces,124,bol.com,DISQUE DUR
"3TB, 3.5"", SATA 6Gb/s, 5400 RPM",Western Digital,2 TB,WD30PURZ,Disque dur de 3.5 pouces,103,bol.com,DISQUE DUR
Disque dur externe Western Digital WDBWML0020BGY-WESN 2 To 3.2 Gen 1 (3.1 Gen 1),Western Digital,2 TB,WDBWML0020BGY-WESN,Disque dur de 2.5 pouces,109,bol.com,DISQUE DUR
"Seagate Barracuda Pro 2,5 pouces 1000 GB SATA III",Seagate,1 TB,ST1000LM049,Disque dur de 2.5 pouces,83,bol.com,DISQUE DUR
SanDisk G-DRIVE ArmorATD disque dur externe 5000 Go Noir,SanDisk Professional,5 TB,SDPH81G-005T-GBAND,Disque dur de 2.5 pouces,184,bol.com,DISQUE DUR
"Drive dur Seagate SkyHawk 2 To 3,5""",Seagate,2 TB,ST2000VX017,Disque dur de 3.5 pouces,70,bol.com,DISQUE DUR
Freecom Tough Drive disque dur externe 2000 Go Gris,Freecom,2 TB,56331,Disque dur de 2.5 pouces,113,bol.com,DISQUE DUR
"Seagate Enterprise Exos X20, 3.5"", 20 To, 7200 tr/min",Seagate,20 TB,ST20000NM004E,Disque dur de 3.5 pouces,379,bol.com,DISQUE DUR
Dutch Wanted Eaget M1 Disque dur externe SSD portable haute performance - Vitesse 550 Mo p/s - 250 Go de Solide SSD - Plug and play - Stockage portable - Stockage externe PC ou ordinateur portable - USB 3.2 - Extension de disque dur Ultra rapide,Dutch Wanted,250 GB,2024-M1-256GB,Disque dur de 2.5 pouces,49,bol.com,DISQUE DUR
"La station d'accueil pour disque dur est largement compatible avec Windows, Mac OS et Linux. Prise en charge des disques durs/ HDD SATA 2,5"" ou 3,5"". Il suffit de brancher et de jouer",Merkloos / Sans marque,12 TB,‎YPZ220C,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,56,bol.com,DISQUE DUR
"UnionSine HD3510 Disque dur externe portable 12 To 3,5 pouces USB3.2Gen 2 stockage HDD compatible pour PC, ordinateur de bureau, ordinateur portable (noir)",UnionSine,12 TB,HD3510,Disque dur de 3.5 pouces,394,bol.com,DISQUE DUR
"Disque dur externe YAB® 1 To – Externe – SSD – USB 3.1, haute vitesse, disque Solid haute vitesse pour ordinateur portable – PC",Zwart,1 TB,E61,Disque dur de 2.5 pouces,79,bol.com,DISQUE DUR
Mini disque dur - Portable - Stockage Solide 2 To - Zwart - Prend en charge USB 3.1 / Type-C / OTG pour un transfert haute vitesse - Convient pour PC Windows - Ordinateur,Merkloos / Sans marque,2 TB,Nvt,Disque dur de 2.5 pouces,78,bol.com,DISQUE DUR
Western Digital My Passport - Disque dur externe - 5 To Wit,Western Digital,5 TB,WD my passport WDBPKJ0050BWT-WESN,Disque dur de 2.5 pouces,142,bol.com,DISQUE DUR
"Knaak Cache disque dur 2,5 pouces - noir",Knaak,1 TB,-,Disque dur de 2.5 pouces,9,bol.com,DISQUE DUR
"2.5"", 2 TB, SATA III, 6 Go/s, SLC, 545 Mo/s, 69.85 x 100.5 x 7 mm, 32.7 g",Western Digital,2 TB,WDS200T2G0A,Disque dur de 2.5 pouces,122,bol.com,DISQUE DUR
"Synology HAT3300-2T disque dur interne 2 To 5400 tr/min 3,5' SATA III",Synology,2 TB,HAT3300-2T,Disque dur de 3.5 pouces,109,bol.com,DISQUE DUR
Drive dur externe Kioxia EXCERIA PLUS 1 To SSD,Kioxia,1 TB,LXD10S001TG8,Disque dur de 2.5 pouces,82,bol.com,DISQUE DUR
Verbatim Métal Mini 512 Go - SSD Externe - portable - USB-C 3.2 - 512 GB - Compatible Windows et Mac OS - noir,Verbatim,500 GB,32030,Disque dur de 2.5 pouces,65,bol.com,DISQUE DUR
"Seagate IronWolf ST6000VN006, 3.5"", 6 To, 5400 tr/min",Seagate,6 TB,ST6000VN006,Disque dur de 3.5 pouces,162,bol.com,DISQUE DUR
Intenso 6028680 disque dur externe 2000 Go Anthracite,Intenso,2 TB,6028680,Disque dur de 2.5 pouces,86,bol.com,DISQUE DUR
"UnionSine Disque dur externe externe 1 To Disque dur portable Ultra fin Câble USB Stockage HDD compatible pour PC, Mac, ordinateur portable, Xbox, Xbox One, PS4 (Zwart) HD-006 - 500 Go - Zwart",Merkloos / Sans marque,500 GB,6150801056066,Disque dur de 2.5 pouces,59,bol.com,DISQUE DUR
Disque dur externe portable / Blauw / Haute vitesse 1 To / Stockage de masse Mini/ Interface USB 3.0 pour Ordinateurs portables/ Ordinateur,Merkloos / Sans marque,1 TB,Nvt,Disque dur de 2.5 pouces,69,bol.com,DISQUE DUR
"1 TB, 6 Gb/s, 2.5"", 128 MB, 5400 RPM, 69.85 x 100.2 x 7 mm, 90 g",Western Digital,1 TB,WD10SPZX,Disque dur de 2.5 pouces,74,bol.com,DISQUE DUR
Western Digital WDBC3C0020BSL-WESN disque dur externe 2000 Go Argent,Western Digital,2 TB,WDBC3C0020BSL-WESN,Disque dur de 3.5 pouces,115,bol.com,DISQUE DUR
"Drive dur portable 350 Go AVEC boîtier Usb 3.0 Boîtier Sata Boîtier de disque dur externe mobile de 2,5 pouces avec sac d'emballage",Xtabarya,250 GB,DSFSD,Disque dur de 2.5 pouces,43,bol.com,DISQUE DUR
"8 TB, SATA 6Gb/s, 26.11 x 101.85 x 146.99 mm, 720 g",Seagate,8 TB,ST8000NT001,Disque dur de 3.5 pouces,232,bol.com,DISQUE DUR
"4 TB, 2.5"", SATA 6 Gb/s, 5400 RPM, 140 MB/s, 128 MB, 15 mm",Seagate,4 TB,ST4000LM024,Disque dur de 2.5 pouces,137,bol.com,DISQUE DUR
"Toshiba S300 Surveillance, 3.5"", 1 To, 5700 tr/min",TOSHIBA HDD,1 TB,HDWV110UZSVA,Disque dur de 3.5 pouces,56,bol.com,DISQUE DUR
"Toshiba P300 1TB, 3.5"", 1 To, 7200 tr/min",Toshiba,1 TB,AEBT05,Disque dur de 3.5 pouces,57,bol.com,DISQUE DUR
"Madame Boîtier de disque dur externe Jones USB 3.0 vers SATA III 5 Gbit/s - 7 mm 95 mm 2,5 pouces HDD SSD - accélération UASP sans outil - transparent.",Mrs. Jones,1.2 TB,0.1,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,42,bol.com,DISQUE DUR
"Seagate NAS HDD IronWolf, 3.5"", 12 To, 7200 tr/min",Seagate,12 TB,ST12000VN0008,Disque dur de 3.5 pouces,266,bol.com,DISQUE DUR
"4 TB, SATA 6Gb/s, 26.11 x 101.85 x 146.99 mm, 650 g",Seagate,4 TB,ST4000NT001,Disque dur de 3.5 pouces,157,bol.com,DISQUE DUR
Disque dur externe - 500 Go - Grijs,Merkloos / Sans marque,500 GB,-,Disque dur de 2.5 pouces,39,bol.com,DISQUE DUR
HOCO Portable D12 - SSD externe - 128 Go - SSD portable - Mini disque dur externe,Hoco,120 GB,-,Disque dur de 2.5 pouces,36,bol.com,DISQUE DUR
"Western Digital WD Red Plus, 3.5"", 10 To, 7200 tr/min",Western Digital,10 TB,WD101EFBX,Disque dur de 3.5 pouces,284,bol.com,DISQUE DUR
"WD Red Pro WD8005FFBX - Disque dur - 8 To - interne - 3.5"" - SATA 6Gbs - 7200 tr/min - buffer : 256 Mo",Western Digital,8 TB,WD8005FFBX,Disque dur de 3.5 pouces,259,bol.com,DISQUE DUR
"Western Digital WD64PURZ, 3.5"", 6 To, 5400 tr/min",Western Digital,6 TB,WD64PURZ,Disque dur de 3.5 pouces,152,bol.com,DISQUE DUR
Seagate Expansion STKN2000400 disque dur externe 2000 Go Noir,,2 TB,STKN2000400,Disque dur de 2.5 pouces,99,bol.com,DISQUE DUR
Disque dur externe DailySupplies® - Portable - Stockage 2 To - Argent,Brandless,2 TB,6152729529585,Disque dur de 2.5 pouces,159,bol.com,DISQUE DUR
Verbatim Disque dur portable sécurisé Store n Go avec accès par clavier 1 To,Verbatim,1 TB,53401,Disque dur de 2.5 pouces,97,bol.com,DISQUE DUR
"Verbatim Disque dur portable USB Store 'n' Go 3.0, 2 To, Argenté",Verbatim,2 TB,53189,Disque dur de 3.5 pouces,88,bol.com,DISQUE DUR
"1 TB, 2.5"", SATA 6Gb/s, 7200 RPM, 64 MB, 3.8 s, 100.2 x 69.85 x 7 mm",Western Digital,1 TB,WD10SPSX,Disque dur de 2.5 pouces,101,bol.com,DISQUE DUR
"Transcend StoreJet 25M3C disque dur externe 2000 Go Noir, Vert",Transcend,2 TB,TS2TSJ25M3C,Disque dur de 2.5 pouces,110,bol.com,DISQUE DUR
Seagate Ultra Touch - Disque dur externe portable - Protection par mot de passe - 4 To - Grijs,Seagate,4 TB,STMA4000400,Disque dur de 2.5 pouces,143,bol.com,DISQUE DUR
"Seagate FireCuda ST4000DXA05, 3.5"", 4 To, 7200 tr/min",Seagate,4 TB,ST4000DXA05,Disque dur de 3.5 pouces,149,bol.com,DISQUE DUR
Western Digital My Book Duo disque dur externe 24000 Go Noir,Western Digital,24 TB,WDBFBE0240JBK-EESN,Disque dur de 3.5 pouces,779,bol.com,DISQUE DUR
"6 TB, SATA 6Gb/s, 26.11 x 101.85 x 146.99 mm, 716 g",Seagate,6 TB,ST6000NT001,Disque dur de 3.5 pouces,219,bol.com,DISQUE DUR
Toshiba Canvio Advance disque dur externe 2000 Go Noir,Toshiba,2 TB,HDTCA20EK3AA,Disque dur de 2.5 pouces,90,bol.com,DISQUE DUR
Disque dur externe Seagate Basic 2000 Go Argent,Seagate,2 TB,STJL2000400,Disque dur de 2.5 pouces,84,bol.com,DISQUE DUR
"Toshiba P300, 3.5"", 2 To, 7200 tr/min",Toshiba,2 TB,HDWD320UZSVA,Disque dur de 3.5 pouces,67,bol.com,DISQUE DUR
"Western Digital WDBFTM0040BBL-WESN disque dur externe 4000 Go Noir, Bleu",Western Digital,4 TB,WDBFTM0040BBL-WESN,Disque dur de 3.5 pouces,171,bol.com,DISQUE DUR
"Western Digital Blue, 3.5"", 2 To, 5400 tr/min",Western Digital Blue,2 TB,WD20EZAZ,Disque dur de 3.5 pouces,72,bol.com,DISQUE DUR
WD - Western Digital WD Black Game Drive SSD D30 bureau 500 Go pour Xbox,Western Digital,500 GB,WDBAMF5000ABW-WESN,Disque dur de 3.5 pouces,99,bol.com,DISQUE DUR
"12TB, RED Pro 256MB, SATA 6Gb/s, 3.5-inch, 7200RPM",Western Digital,12 TB,WD121KFBX,Disque dur de 3.5 pouces,364,bol.com,DISQUE DUR
"8 To, 3.5"", SATA, 7200 rpm, 256 Mo cache",WD,8 TB,WD8001PURP,Disque dur de 3.5 pouces,243,bol.com,DISQUE DUR
Dutch Wanted Eaget Disque dur externe SSD portable - 2 To de stockage Solide - Vitesse d'écriture rapide - Plug and play - Stockage portable - Stockage externe PC ou ordinateur portable - USB 3.2 - Extension rapide du disque dur,Dutch Wanted,2 TB,2024-EG55-2000GB,Disque dur de 2.5 pouces,119,bol.com,DISQUE DUR
"Verbatim Disque dur portable USB Store 'n' Go 3.0, 1 To - Bleu",Verbatim,1 TB,53196,Disque dur de 2.5 pouces,71,bol.com,DISQUE DUR
"4TB, SATA 6Gb/s, HDD 3.5"", 256 MB, 5400 RPM",Western Digital RED,4 TB,WD40EFAX,Disque dur de 3.5 pouces,157,bol.com,DISQUE DUR
"UNIONSINE® Disque dur externe - Disque dur - Disque dur PS4 - Disque dur externe - Plug And Play - 500 Go - SSD externe - Portable - 2,5 pouces - Compatible avec Windows/Mac/Linux/Android/TV/ PC/Laptop/Ps4/ Xbox - USB 3.0 - USB 2.0 - Antidérapant",Merkloos / Sans marque,500 GB,Merkloos,Disque dur de 2.5 pouces,74,bol.com,DISQUE DUR
"4TB SATAIII, 6Gb/s, 3.5'', 64MB cache",Seagate,4 TB,Skyhawk,Disque dur de 3.5 pouces,148,bol.com,DISQUE DUR
"Synology ?HAT3300-6T NAS 6TB SATA 3.5 HDD, 3.5"", 6,14 To, 5400 tr/min",Synology,6 TB,HAT3300-6T,Disque dur de 3.5 pouces,183,bol.com,DISQUE DUR
Disque dur externe BMetics - Disque dur 500 Go - Zwart,Merkloos / Sans marque,500 GB,-,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,59,bol.com,DISQUE DUR
Toshiba Canvio Advance disque dur externe 1000 Go Rouge,Toshiba,1 TB,HDTCA10ER3AA,Disque dur de 2.5 pouces,73,bol.com,DISQUE DUR
Toshiba Canvio Basics 2TB disque dur externe 2000 Go Noir,Toshiba,2 TB,HDTB320EK3CA,Disque dur de 2.5 pouces,101,bol.com,DISQUE DUR
"Seagate Enterprise ST18000NM004J, 3.5"", 18 To, 7200 tr/min",Seagate,18 TB,ST18000NM004J,Disque dur de 3.5 pouces,357,bol.com,DISQUE DUR
Étui de transport pour disque dur externe avec Protection contre les chocs-étui de protection étanche pour disque dur EVA - Zwart,Merkloos / Sans marque,1 TB,1,Disque dur de 2.5 pouces,62,bol.com,DISQUE DUR
