Nom du produit,Marque,Résolution écran,Référence,Taille écran,Prix,Site web,Catégorie
MSI G24C4 E2 - Moniteur de Gaming Full HD - 165hz - 24 pouces,MSI,1920 x 1080,G24C4 E2,24 Inch,119,bol.com,MONITEUR
AOC 24G4XE - Moniteur de Gaming Full HD - 180 Hz - Ajustable - Enceintes - 24 pouces,AOC,1920 x 1080,24G4X,24 Inch,99,bol.com,MONITEUR
"86.4cm (34"") UltraWide Dual Quad HD 3440 x 1440 VA, 21:9, 300cd/m², 1.07B, 1ms, 178°/178°, 3000:1",MSI,3440 x 1440,MAG 345CQR,34 Inch,329,bol.com,MONITEUR
"68.6cm (27"") Full HD 1920 x 1080 VA, 16:9, 250cd/m², 16.7M, 1ms, 178°/178°, 3000:1",MSI,1920 x 1080,MAG 27C6F,27 Inch,139,bol.com,MONITEUR
"60.5cm (23.8"") Full HD 1920 x 1080 IPS, 16:9, 300cd/m², 16.7M, 1ms, 178°/178°, 1000:1",MSI,1920 x 1080,G244F E2,24 Inch,129,bol.com,MONITEUR
"68.6cm (27"") Wide Quad HD 2560 x 1440 IPS, 16:9, 300cd/m², 1.07B, 178°/178°, 1200:1",MSI,2560 x 1440,G272QPF E2,27 Inch,189,bol.com,MONITEUR
"Samsung G Series C34G55TWWU 86,4 cm (34"") 3440 x 1440 pixels UltraWide Quad HD LCD Noir",Samsung,3440 x 1440,LC34G55TWWPXEN,34 Inch,289,bol.com,MONITEUR
"LG Smart 27SR50F-W.AEU, 68,6 cm (27""), 1920 x 1080 pixels, Full HD, LED, 14 ms, Blanc",LG,1920 x 1080,27SR50F-W.AEK,27 Inch,199,bol.com,MONITEUR
"LG 24MR400-B.AEUQ, 60,5 cm (23.8""), 1920 x 1080 pixels, Full HD, LED, 5 ms, Noir",LG,1920 x 1080,24MR400-B.AEUQ,24 Inch,93,bol.com,MONITEUR
"ASUS ZenScreen MB166C 39,6 cm (15.6"") 1920 x 1080 pixels Full HD LED Noir",ASUS,1920 x 1080,MB166C,15.6 Inch,149,bol.com,MONITEUR
"68.6cm (27"") Full HD 1920 x 1080, 16:9, 300cd/m², 16.78M, 1ms, 178°/178°, 1000:1",MSI,1920 x 1080,G2712F,27 Inch,149,bol.com,MONITEUR
"68.6cm (27"") Full HD 1920 x 1080 VA, 16:9, 250cd/m², 1.07B, 1ms, 178°/178°, 3000:1",MSI,1920 x 1080,MAG 27C6X,27 Inch,189,bol.com,MONITEUR
"LG 27US500-W écran d'ordinateur 68 cm (27"") 3840 x 2160 pixels 4K Ultra HD LCD Wit",LG,3860 x 2160,27US500-W.AEU,27 Inch,246,bol.com,MONITEUR
MSI MAG 27CQ6F - Moniteur de Gaming incurvé WQHD - 180 Hz - 27 pouces,MSI,2560 x 1440,MAG 27CQ6F,27 Inch,189,bol.com,MONITEUR
LG UltraGear 27GS85Q-B - Moniteur de Gaming QHD - 180 Hz - Nano IPS - 27 pouces,LG,2560 x 1440,27GS85Q-B,27 Inch,264,bol.com,MONITEUR
"28"" IPS, 4K UHD (3840 x 2160), 300 cd/㎡, HDR 400, FreeSync Premium Pro, 144 Hz, Display Port, HDMI, Tizen",Samsung,3840 x 2160,LS28BG700EPXEN,28 Inch,388,bol.com,MONITEUR
Monitor 24E1N1100A Moniteur LCD Full HD,Philips,1920 x 1080,24E1N1100A/00,24 Inch,89,bol.com,MONITEUR
"24"", 250 cd/㎡, 1000:1, 16:09, IPS, 178°/178°, 100Hz, 539.9 x 518.9 x 219.7 mm, 4.8 kg",Samsung,1920 x 1080,LS24C432GAUXEN,24 Inch,119,bol.com,MONITEUR
Samsung Smart M5 LS27DM502EUXEN - Full HD - Dalle VA - 27 pouces,Samsung,1920 x 1080,LS27DM502EUXEN,27 Inch,196,bol.com,MONITEUR
"MSI Pro MP341CQ 86,4 cm (34"") 3440 x 1440 pixels UltraWide Quad HD Noir",MSI,3440 x 1440,PRO MP341CQ,34 Inch,295,bol.com,MONITEUR
MSI G32CQ5P - Moniteur de Gaming incurvé QHD - 170 Hz - 32 pouces,MSI,2560 x 1440,G32CQ5P,32 Inch,295,bol.com,MONITEUR
"MSI G32CQ4 E2 écran plat de PC 80 cm (31.5"") 2560 x 1440 pixels Wide Quad HD LCD Noir",MSI,2560 x 1440,G32CQ4 E2,32 Inch,249,bol.com,MONITEUR
